id(pk),id,codigo_act
1,8320509,115111
2,8838283,112519
3,6166487,112514
4,8346295,115113
5,9323240,115113
6,6166344,114119
7,9938978,115111
8,10676525,115111
9,6166273,114119
10,10399786,115112
11,11650226,115113
12,6762603,114119
13,8130649,115119
14,6166311,114119
15,8345681,115111
16,8901346,114119
17,9045957,114113
18,9401810,112516
19,11032940,115111
20,9585470,115111
21,7633673,115119
22,6726612,115119
23,6752874,112519
24,6166503,112519
25,8901366,114119
26,6166471,114119
27,11126552,115111
28,6184309,114111
29,10660943,115111
30,10319698,114119
31,10313174,115111
32,10757021,112516
33,9045986,114119
34,6166434,112519
35,9338118,115119
36,10810400,115111
37,6166287,114119
38,6283195,115112
39,6166387,114119
40,6166490,114111
41,128060,115113
42,9306801,114113
43,8789503,114113
44,9720454,114112
45,7005046,115113
46,6166461,114119
47,6166464,114119
48,11384086,115113
49,10627679,115111
50,6166327,114119
51,9577027,115113
52,10553649,115113
53,9435972,115113
54,9223515,115113
55,8789612,114119
56,8838347,114119
57,8251137,114119
58,10668992,114119
59,123184,115119
60,9439358,114119
61,7863369,114119
62,9499001,115210
63,9046053,114113
64,6166426,114119
65,6166473,114119
66,6166370,114119
67,6166371,114119
68,6166308,114119
69,100510,115111
70,6166298,114119
71,10460175,114119
72,10445441,115119
73,6166454,114119
74,9450263,112515
75,9045843,114119
76,6166452,114119
77,6166268,114119
78,9223506,114119
79,6739928,114119
80,8853688,114119
81,10386036,115111
82,6166459,114119
83,8901388,114119
84,6740777,112519
85,6166411,112519
86,7863371,112519
87,9045932,114119
88,8704365,114119
89,100528,115119
90,8696208,114119
91,9046026,114119
92,9046042,114119
93,6166272,114112
94,8011869,114119
95,9223512,114119
96,9223507,114119
97,8011851,114112
98,10162087,114119
99,10809414,114119
100,9046109,114119
101,9046154,114119
102,6166317,114119
103,6166318,114119
104,9046129,114119
105,6166380,114119
106,6166425,114119
107,6188995,114119
108,8983348,114119
109,7863322,114119
110,6166467,114119
111,9046067,114119
112,7863331,114119
113,8011829,114119
114,6166407,114119
115,6708635,114119
116,6166458,114119
117,9045977,114119
118,7863288,114119
119,9045965,114119
120,6724646,114119
121,6166373,114119
122,6166391,114119
123,8161698,114119
124,6166402,114119
125,6166403,114119
126,6166396,114119
127,6166416,114119
128,6166390,114119
129,6166393,114119
130,9223508,114119
131,6166319,114119
132,6166323,114119
133,6166400,114119
134,6166348,114119
135,6166378,114119
136,6166384,114119
137,9045849,114119
138,9419139,114119
139,9430471,114119
140,8704368,114119
141,9045926,114119
142,9045928,114119
143,6166447,114119
144,6166362,114119
145,6166418,114119
146,9046126,114119
147,6166457,114119
148,6166341,114119
149,6166352,114119
150,9046018,114119
151,9046142,114119
152,6166511,114119
153,6166369,114119
154,6166335,114119
155,6166339,114119
156,6166477,114119
157,6166351,114119
158,6166337,114119
159,6166469,114119
160,6166299,114119
161,6166401,114119
162,6166420,114119
163,6166398,114119
164,6166410,114119
165,7863380,114119
166,9045924,114119
167,9045968,114119
168,6166312,114119
169,7889003,114119
170,6166338,114119
171,9045989,114111
172,6166254,114113
173,6166282,114119
174,6166265,114113
175,8161732,114119
176,6166476,114119
177,6800280,114119
178,9276519,114119
179,6166269,114119
180,6166303,114113
181,6166271,114119
182,6166409,114119
183,6166446,114119
184,11377463,114113
185,6166481,114119
186,115267,115113
187,7863324,112519
188,6166462,114119
189,6166502,114119
190,6166270,114119
191,7863305,114119
192,9434820,114112
193,9290980,112519
194,8346446,115111
195,10533822,115119
196,6501219,115113
197,9276518,112519
198,11242774,115111
199,6166478,114119
200,7888968,114119
201,8723524,114119
202,10426804,115111
203,8723527,114119
204,10705030,112513
205,6166405,114119
206,6166359,114119
207,6166340,114119
208,6166313,114119
209,6166302,114119
210,6166336,114119
211,8835832,114119
212,8465043,114119
213,8789630,114119
214,6188998,114119
215,8789537,114119
216,6189001,114119
217,9223509,114119
218,6166397,114119
219,9330558,114119
220,8723456,114119
221,6166374,114119
222,8835898,114119
223,8893338,114119
224,6166475,114119
225,6166513,114119
226,8320322,115119
227,9880375,114119
228,10346631,114119
229,9902430,114119
230,9045925,114119
231,7759570,114119
232,9301099,212321
233,6186038,212232
234,9287594,212311
235,9287595,212311
236,6186060,212321
237,8601619,212210
238,6285376,212391
239,6716579,212321
240,6186031,212321
241,6186034,212321
242,6186049,212321
243,6186048,212321
244,6186056,212321
245,6186052,212391
246,6186041,212321
247,6283154,212321
248,6231004,212391
249,6186057,212321
250,6186059,212321
251,8833938,212321
252,9298996,212110
253,6186055,212311
254,6186040,212321
255,6186043,212321
256,6186044,212311
257,9290983,212311
258,6186033,212311
259,6188988,212221
260,9223688,212221
261,6512881,212319
262,6188993,212321
263,9301123,212221
264,9586852,212311
265,6186053,212321
266,6186035,212321
267,9311574,212321
268,6694572,212319
269,6423473,212321
270,6723439,213119
271,6188987,212311
272,8690685,212391
273,6186050,212391
274,6186054,212391
275,6186058,212391
276,8833939,212321
277,6186046,212321
278,9275386,212319
279,11459594,212321
280,79238,221122
281,94348,221122
282,9480298,221122
283,9423948,221311
284,10804448,221312
285,9725542,221312
286,100297,221122
287,9480299,221122
288,58543,221122
289,9473771,221123
290,9471975,221123
291,9284898,221123
292,120735,221123
293,78381,221123
294,126970,221123
295,9274901,221123
296,52450,221123
297,112400,221123
298,65375,221123
299,9276914,221123
300,119830,221123
301,58400,221123
302,153389,221123
303,149797,221123
304,9284580,221123
305,60176,221123
306,61950,221123
307,92374,221123
308,9281745,221311
309,82058,221123
310,10676921,221312
311,99493,221312
312,9480545,221111
313,3293048,221111
314,8194800,221111
315,99839,221111
316,82061,221111
317,9480544,221111
318,9395008,221312
319,131087,221312
320,8486108,221312
321,119845,221312
322,9412821,221312
323,114791,221312
324,9395002,221312
325,9433585,221312
326,112329,221312
327,111048,221312
328,8317141,221312
329,7017356,221312
330,131885,221312
331,114635,221312
332,121092,221312
333,9408969,221312
334,106834,221312
335,84371,221122
336,9313438,221312
337,8304453,221312
338,99343,221312
339,8677739,221312
340,96539,221312
341,98753,221312
342,8798002,221312
343,8280027,221312
344,82108,221312
345,8850282,221312
346,127603,221312
347,8317149,221312
348,6958906,221312
349,108313,221312
