id(pk),tipo_asent
1,EJIDO
2,COLONIA
3,COLONIA
4,EJIDO
5,COLONIA
6,COLONIA
7,FRACCIONAMIENTO
8,EJIDO
9,COLONIA
10,COLONIA
11,AMPLIACION
12,COLONIA
13,EJIDO
14,EJIDO
15,EJIDO
16,COLONIA
17,COLONIA
18,COLONIA
19,FRACCIONAMIENTO
20,FRACCIONAMIENTO
21,COLONIA
22,COLONIA
23,COLONIA
24,FRACCIONAMIENTO
25,COLONIA
26,EJIDO
27,COLONIA
28,COLONIA
29,COLONIA
30,COLONIA
31,COLONIA
32,RANCHO
33,COLONIA
34,FRACCIONAMIENTO
35,COLONIA
36,FRACCIONAMIENTO
37,COLONIA
38,COLONIA
39,COLONIA
40,PUERTO
41,COLONIA
42,COLONIA
43,COLONIA
44,COLONIA
45,LOCALIDAD
46,FRACCIONAMIENTO
47,COLONIA
48,FRACCIONAMIENTO
49,COLONIA
50,CANTON
51,MANZANA
52,COLONIA
53,COLONIA
54,LOCALIDAD
55,COLONIA
56,COLONIA
57,RANCHO
58,COLONIA
59,COLONIA
60,LOCALIDAD
61,FRACCIONAMIENTO
62,PUEBLO
63,COLONIA
64,
65,EJIDO
66,COLONIA
67,EJIDO
68,EJIDO
69,COLONIA
70,COLONIA
71,COLONIA
72,CIUDAD
73,FRACCIONAMIENTO
74,COLONIA
75,FRACCIONAMIENTO
76,COLONIA
77,COLONIA
78,EJIDO
79,PUEBLO
80,
81,COLONIA
82,COLONIA
83,FRACCION
84,COLONIA
85,EJIDO
86,COLONIA
87,PRIVADA
88,EJIDO
89,LOCALIDAD
90,COLONIA
91,PUEBLO
92,CIUDAD
93,FRACCIONAMIENTO
94,FRACCIONAMIENTO
95,COLONIA
96,EJIDO
97,CANTON
98,CIUDAD
99,CIUDAD
100,EJIDO
101,EJIDO
102,EJIDO
103,EJIDO
104,EJIDO
105,EJIDO
106,
107,EJIDO
108,COLONIA
109,COLONIA
110,EJIDO
111,FRACCIONAMIENTO
112,EJIDO
113,FRACCIONAMIENTO
114,EJIDO
115,CIUDAD
116,COLONIA
117,COLONIA
118,AMPLIACION
119,COLONIA
120,COLONIA
121,PUERTO
122,COLONIA
123,EJIDO
124,EJIDO
125,EJIDO
126,EJIDO
127,EJIDO
128,EJIDO
129,EJIDO
130,COLONIA
131,PARAJE
132,EJIDO
133,EJIDO
134,EJIDO
135,EJIDO
136,EJIDO
137,PUEBLO
138,COLONIA
139,PUERTO
140,COLONIA
141,COLONIA
142,COLONIA
143,COLONIA
144,FRACCIONAMIENTO
145,COLONIA
146,COLONIA
147,FRACCIONAMIENTO
148,COLONIA
149,COLONIA
150,COLONIA
151,COLONIA
152,COLONIA
153,COLONIA
154,COLONIA
155,COLONIA
156,EJIDO
157,COLONIA
158,COLONIA
159,EJIDO
160,COLONIA
161,EJIDO
162,EJIDO
163,EJIDO
164,COLONIA
165,COLONIA
166,FRACCIONAMIENTO
167,EJIDO
168,COLONIA
169,EJIDO
170,PUEBLO
171,FRACCIONAMIENTO
172,COLONIA
173,PUERTO
174,COLONIA
175,COLONIA
176,FRACCIONAMIENTO
177,FRACCIONAMIENTO
178,EJIDO
179,COLONIA
180,REGION
181,COLONIA
182,EJIDO
183,COLONIA
184,COLONIA
185,EJIDO
186,COLONIA
187,EJIDO
188,FRACCIONAMIENTO
189,FRACCIONAMIENTO
190,EJIDO
191,COLONIA
192,COLONIA
193,PARQUE INDUSTRIAL
194,COLONIA
195,CIUDAD
196,EJIDO
197,COLONIA
198,FRACCIONAMIENTO
199,FRACCIONAMIENTO
200,COLONIA
201,COLONIA
202,FRACCIONAMIENTO
203,EJIDO
204,COLONIA
205,COLONIA
206,COLONIA
207,COLONIA
208,EJIDO
209,COLONIA
210,EJIDO
211,COLONIA
212,PUEBLO
213,EJIDO
214,PUEBLO
215,NINGUNO
216,EJIDO
217,COLONIA
218,COLONIA
219,PUERTO
220,COLONIA
221,COLONIA
222,NINGUNO
223,EJIDO
224,PUERTO
225,COLONIA
226,CIUDAD
227,COLONIA
228,COLONIA
229,COLONIA
230,COLONIA
231,COLONIA
232,EJIDO
233,COLONIA
234,COLONIA
235,COLONIA
236,PUEBLO
237,COLONIA
238,COLONIA
239,EJIDO
240,EJIDO
241,COLONIA
242,EJIDO
243,EJIDO
244,EJIDO
245,EJIDO
246,EJIDO
247,COLONIA
248,COLONIA
249,COLONIA
250,FRACCIONAMIENTO
251,PUEBLO
252,PUEBLO
253,EJIDO
254,EJIDO
255,PUEBLO
256,PUEBLO
257,
258,PARAJE
259,COLONIA
260,NINGUNO
261,COLONIA
262,COLONIA
263,COLONIA
264,RANCHO
265,COLONIA
266,COLONIA
267,COLONIA
268,COLONIA
269,FRACCIONAMIENTO
270,
271,EJIDO
272,EJIDO
273,ZONA FEDERAL
274,EJIDO
275,EJIDO
276,EJIDO
277,PUEBLO
278,EJIDO
279,FRACCIONAMIENTO
280,CIUDAD
281,CIUDAD
282,COLONIA
283,COLONIA
284,FRACCIONAMIENTO
285,FRACCIONAMIENTO
286,COLONIA
287,COLONIA
288,COLONIA
289,COLONIA
290,EJIDO
291,COLONIA
292,COLONIA
293,PUEBLO
294,FRACCIONAMIENTO
295,COLONIA
296,COLONIA
297,COLONIA
298,COLONIA
299,COLONIA
300,FRACCIONAMIENTO
301,COLONIA
302,COLONIA
303,FRACCIONAMIENTO
304,COLONIA
305,COLONIA
306,FRACCIONAMIENTO
307,FRACCIONAMIENTO
308,ZONA COMERCIAL
309,FRACCIONAMIENTO
310,COLONIA
311,COLONIA
312,NINGUNO
313,COLONIA
314,NINGUNO
315,COLONIA
316,FRACCIONAMIENTO
317,LOCALIDAD
318,COLONIA
319,FRACCIONAMIENTO
320,FRACCIONAMIENTO
321,FRACCIONAMIENTO
322,FRACCIONAMIENTO
323,COLONIA
324,COLONIA
325,COLONIA
326,COLONIA
327,COLONIA
328,COLONIA
329,SECCION
330,FRACCIONAMIENTO
331,COLONIA
332,FRACCIONAMIENTO
